date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-01-01,580597,8871653,4869157,237268,1072944,35224,16140,1916289
2024-01-02,668150,8880713,4864654,236634,1237407,46158,20727,1916677
2024-01-03,697643,8888160,4862762,236371,1292502,46472,21531,1917199
2024-01-04,704054,8889981,4859297,236331,1296453,48775,21438,1917761
2024-01-05,722163,8901384,4857691,236291,1324447,48561,21076,1918285
2024-01-06,701858,8909521,4857151,236199,1304567,46223,20978,1918843
2024-01-07,673745,8913095,4858058,236133,1267795,46649,20755,1919382
2024-01-08,701112,8916005,4860276,236193,1287365,45114,21060,1919898
2024-01-09,697290,8916317,4860282,236160,1276847,42632,20155,1920416
2024-01-10,710008,8919176,4860592,236323,1301177,43427,21184,1920920
2024-01-11,724233,8917907,4860115,236591,1329672,42120,21004,1921405
2024-01-12,737559,8908200,4852322,235620,1350151,44674,21983,1921864
2024-01-13,711454,8897092,4850293,235286,1317995,44320,20645,1922376
2024-01-14,670995,8890162,4847693,235047,1262130,44911,20736,1922938
2024-01-15,687146,8864045,4843926,234102,1267063,44141,20608,1923255
2024-01-16,705362,8854643,4839626,233747,1295782,43730,20878,1923677
2024-01-17,716740,8841595,4834953,233122,1307246,42271,24054,1924117
2024-01-18,720354,8838155,4831330,232734,1324030,43200,23001,1924584
2024-01-19,746815,8852120,4829362,232470,1358415,43344,24365,1925047
2024-01-20,707993,8860652,4837126,232845,1313409,43235,22451,1925508
2024-01-21,680997,8891668,4845575,233830,1279127,45210,23162,1926034
2024-01-22,721368,8952471,4873415,236732,1327048,44996,24973,1926639
2024-01-23,734089,8975698,4887999,237807,1345422,44061,23633,1927125
2024-01-24,746559,8992783,4893285,237969,1366684,43973,24814,1927634
2024-01-25,717753,8985596,4896534,238569,1321221,42605,23587,1928119
2024-01-26,750105,8988891,4899742,238892,1385438,43185,25074,1928623
2024-01-27,719075,8997086,4901740,239052,1353081,42935,23611,1929101
2024-01-28,688561,8995132,4895875,239438,1300399,44664,24380,1929593
2024-01-29,709816,9008445,4912018,241955,1309871,45529,23449,1930046
2024-01-30,709688,9009947,4920025,242730,1307430,42001,23636,1930494
2024-01-31,707007,9003488,4931518,243545,1299611,42103,24136,1930959
2024-02-01,716210,8997146,4940945,244123,1314368,42529,23042,1931429
2024-02-02,738088,8996323,4951749,244831,1357583,41144,23240,1931944
2024-02-03,729848,9009238,4962986,245432,1350356,41850,22795,1932015
2024-02-04,692440,9030426,4971913,245709,1296613,45128,23150,1932005
2024-02-05,717524,9052312,4977848,246136,1305373,43261,23562,1932033
2024-02-06,718397,9060428,4984730,246426,1301917,41036,22745,1931876
2024-02-07,729819,9078789,4990433,247009,1319069,40552,21327,1931793
2024-02-08,751910,9095387,4996423,247463,1359752,52667,21471,1931803
2024-02-09,757095,9093071,5002420,247487,1363221,41089,22468,1931833
2024-02-10,756691,9130830,5008891,247900,1371082,40681,24070,1931878
2024-02-11,705160,9148251,5015827,247910,1293817,41457,22971,1931904
2024-02-12,739474,9183269,5019221,247907,1335167,42032,22970,1931832
2024-02-13,776032,9224272,5025931,248300,1393559,43468,23286,1931775
2024-02-14,822737,9279568,5039481,249201,1486141,41247,24401,1931794
2024-02-15,780329,9311179,5047689,249668,1427531,40995,22783,1931945
2024-02-16,789269,9335733,5053639,250047,1414652,43326,25068,1932544
2024-02-17,744032,9351349,5053714,250080,1353659,41812,19456,1933094
2024-02-18,696308,9361279,5059063,250347,1281801,46312,19614,1933655
2024-02-19,740627,9374055,5064359,250530,1334039,46140,21079,1934189
2024-02-20,762356,9387774,5068552,250987,1367079,43041,21171,1934727
2024-02-21,775162,9398320,5073900,251218,1381761,41955,20467,1935243
2024-02-22,772124,9431842,5078989,251780,1387027,41596,21373,1935845
2024-02-23,780107,9452001,5084476,251989,1402910,40602,23476,1936379
2024-02-24,748780,9470935,5090167,252354,1368011,42337,22861,1936980
2024-02-25,722673,9490557,5097442,252670,1329637,45077,23513,1937529
2024-02-26,746612,9509233,5103689,253056,1350009,41992,23162,1938022
2024-02-27,758733,9538979,5110125,253164,1354219,40605,22906,1938543
2024-02-28,752662,9566448,5111509,252909,1346412,40052,23052,1939063
2024-02-29,764983,9592468,5113224,252858,1367496,39810,22941,1939674
2024-03-01,756872,9601330,5113363,252684,1364891,40742,22211,1940243
2024-03-02,729077,9601420,5112078,252481,1335651,38836,22013,1940770
